text,label
it appears that obama ally angela merkel is more popular with muslim migrant males than the citizens of germany german voters turned to the far right in droves yesterday in a damning verdict on angela merkel s open door border policy in regional elections she was humiliated by the anti immigrant afd alternative for germany party formed just three years ago it has surged in popularity following mrs merkel s decision to roll out the red carpet for more than a million migrants analysts said the regional poll in which mrs merkel s ruling christian democrats lost two out of three states was a worst case scenario for the embattled chancellor ahead of a general election next year the timing made it a virtual referendum on germany s refugee policy it will also be seen as an indictment of the failure of europe s ruling classes to acknowledge the public s fears about migration mrs merkel s welcome for arrivals from syria other parts of the middle east and north africa has caused chaos across the continent initially the incomers were greeted by crowds of well wishers but faced with the sheer numbers public opinion soured and there was outrage when gangs of migrant men were involved in organised sex attacks on women in cologne and other cities on new year s eve one by one eu states have thrown up border fences to stop the flow of arrivals leading to the slow collapse of the schengen passport free zone via dmwatch incredible video below that explains why german chancellor angela merkel is getting hammered in the polls in germany german chancellor angela merkel s party suffered a major setback in key state polls sunday over her liberal refugee policy while the right wing populist afd recorded a surge as it scooped up support from angry voters merkel s christian democratic union cdu lost in two of three states in regional elections and scored a historic low in its stronghold baden wuerttemberg where it came in second place after the greens according to projections based on early results published by public broadcasters ard and zdf the populist alternative for germany afd which had sparked outrage by suggesting police may have to shoot at migrants to stop them entering the country recorded double digit support in the first elections they have stood for in all three regions the elections are the biggest since germany registered a record influx of refugees and are largely regarded as a referendum on merkel s decision to open the country s doors to people fleeing war bild daily called sunday s polls a day of horror for chancellor merkel as the stunning popularity of the upstart afd was a clear punishment for her policy the people who voted for us voted against this refugee policy said afd deputy chairman alexander gauland frauke petry l and ronald glaeser of the right wing populist party alternative for germany afd party react after state elections exit poll results were announced on tv in berlin on march 13 2016germans had watched in growing alarm as 1 1 million asylum seekers arrived in the country in 2015 alone despite facing intense pressure to change course merkel has resolutely refused to impose a cap on arrivals insisting instead on common european action that includes distributing refugees among the eu s 28 member states via breitbart news,fake
the russian response to barack obama s announcement that he was expelling 35 diplomats over the alleged cyber attack on the us election was fast and in some cases rather amusing the russian response to barack obama s announcement that he was expelling 35 diplomats over the alleged cyber attack on the us election was fast and in some cases rather amusing as officials in moscow said that us diplomats would be ordered to leave in a tit for tat response the russian embassy used twitter to make its point with little panache read more independent,fake
the us provides 22 of the budget for the united nations donald trump is preparing executive orders that would dramatically reduce us funding of the united nations as well as other international organizations that do not meet certain criteria the executive order plans to repeal certain multilateral treaties too officials told the new york times which would likely include treaties on climate change the first order called auditing and reducing us funding of international organizations will take away funding for any united nations agency or international body that meets criteria including organisations that give full membership to the palestinian authority or palestine liberation organisation support abortion and any group that circumvents sanctions on iran or north korea funding will be taken away from any organization that is controlled or substantially influenced by any state that sponsors terrorism or is behind the persecution of marginalised groups or systematic violation of human rights the order has singled out peacekeeping the international criminal court and the united nations population fund the unpfa targets violence against women fights to keeps childbirth and abortion where it is legal safe and was a key presence in safeguarding women in haiti following hurricane matthew the order demands decreasing us funding towards international organizations by at least 40 per cent earlier reports revealed that congress was planning legislation to stop funding the un after it voted to condemn israeli settlement building in the occupied territories read more the independent,fake
embarrassing footage of thailand s king wearing a crop top and showing his tattoos have prompted authorities to threaten action against facebook the video of king maha vajiralongkorn strolling around a shopping centre with a woman was widely shared on the social network but thai authorities have threatened to press charges if it is still available at 10am tomorrow the video shows the monarch who came to power last year following the death of his father with a number of tattoos on his arms stomach and back watch under strict lese majeste laws in thailand people can be jailed for up to 15 years for sharing material which is insulting to the monarchy the video has been geo blocked by the social network but thai authorities say 131 pages containing the illicit video are still available takorn tantasith secretary general of the national broadcasting and telecommunications commission said if even a single illicit page remains we will immediately discuss what legal steps to take against facebook thailand last week the thai internet service provider association emailed facebook chief executive mark zuckerberg calling for the posts to be blocked the bangkok post reports daily mail,fake
prior to the 2016 election oct 16 consumer confidence measured by the university of michigan was indexed at 87 2 today that same confidence rating is 101 1 a stunning 15 9 increase similarly consumer expectations were indexing 76 8 in october 2016 and now stand at 91 3 an increase of 18 9 conservative treehousebusiness insider us consumers haven t been this optimistic about the economy since the start of 2004 according to a survey conducted by the university of michigan the consumer sentiment index registered a preliminary october reading of 101 1 a monthly report showed friday the data suggest that consumer spending will likely continue to support the economy through at least mid 2018 at which time this economic expansion would become the second longest since the 19th century us economic growth in the second quarter rose to a two year high on stronger consumer and business spending a late september report showed the surge in optimism reflects an unmistakable sense among consumers that economic prospects are now about as good as could be expected said richard curtin the chief economist of the survey this as good as it gets outlook is supported by a moderation in the expected pace of growth in both personal finances and the overall economy accompanied by a growing sense that even with this moderation it would still mean the continuation of good economic times,fake
holy smokes could someone tell obama he doesn t need to dump more money into the baltimore school system i think they need to point the finger somewhere else the baltimore school system ranked second among the nation s 100 largest school districts in how much it spent per pupil in fiscal year 2011 according to data released tuesday by the u s census bureau the city s 15 483 per pupil expenditure was second to new york city s 19 770 rounding out the top five were montgomery county which spent 15 421 milwaukee public schools at 14 244 and prince george s county public schools which spent 13 775 the census bureau also noted the first decrease in per pupil spending nationally since 1977 the year the figures were first tracked the per pupil expenditures were calculated based on taking the districts current spending on day to day operations and deducting payments to charter schools and capital funding the remaining money was divided by the number of students enrolled in traditional schools the amounts were not adjusted for inflation baltimore schools ceo andr s alonso said the city s total could have reflected large infusions of cash to the district including millions in federal stimulus dollars and federal race to the top funds he also credited state lawmakers for maintaining funding as many states pulled back on spending with many districts losing funding maryland held the line on education which is why you see three districts at or near the top he said on monday the school board passed a 1 2 billion budget that includes per pupil funding of 5 190 that amount is different from what the census bureau reported because the school system takes out other expenses such as transportation costs and special education services before allocating money to individual schools in addition the school system provides extra funding for certain groups of students such as those in special education and dropout prevention programs via baltimore sun,fake
the h 1b visa program is killing jobs for native americans it was just reported in the recent jobs numbers that native born americans are losing jobs while immigrant employment is up corporations like disney are bringing in foreign workers with the h 1b visa and having the american employees train the foreign worker for their job talk about adding insult to injury this needs to stop but washington lobbyists and the chamber of commerce really can t help themselves they love that cheap labor the discrimination against americans is very real and it s about time the workers fought back some u s it workers who have been replaced with h 1b contractors are alleging discrimination and are going to court they are doing so in increasing numbers there are at least seven it workers at disney who are pursuing or plan to pursue federal and state discrimination administrative complaints over their layoffs another disney worker still employed by the firm has filed a state administrative discrimination complaint in california these complaints are a first step to litigation separately there are ongoing court cases alleging discrimination against two of the largest india based it services firms infosys and tata consultancy services the federal judges in each of cases have given a green light for the plaintiffs to proceed after rejecting dismissal efforts there may be federal interest in examining this issue the u s department of justice s office of special counsel for immigration related unfair employment practices was asked by 10 u s senators in april to examine the it layoffs at southern california edison sce and to determine whether sce or its contractors were engaged in prohibited citizenship status discrimination what s being challenged in sum is the job replacement system created by the h 1b program u s it workers as a condition for their severance are being made to train h 1b visa holding contractor replacements to take over their jobs the contractors often work for it services firms that employ large numbers of h 1b workers most of these workers are from india and regional countries this practice of replacing u s workers with foreign workers constitutes national origin discrimination say its critics the court case against tata whose plaintiffs include a former sce employee alleges that some 95 of its employees are south asian or mostly indian tata has called the allegations baseless the disney it workers were terminated because they were american citizens and all their replacements were foreign born indians said sara blackwell a florida attorney who is representing seven of the disney workers at its parks and resort division she has set up an organizationto challenge the practice other discrimination claims including age and disability will be made as well those complaints are being filed with the u s equal opportunity commission which sees if a settlement is possible prior to any lawsuit disney did not respond immediately for comment we need to protect american workers said james otto a california attorney who is representing a disney abc television group employee in that state this complaint is being filed in california under the state s fair employment and housing act which otto said is similar to the federal process but with more protections otto s client still works at disney and had been targeted for an earlier layoff but disney rescinded those layoffs nonetheless the complaints being made include a hostile workforce and national origin discrimination read more computer world,fake
fears of purges of personnel based on ideology have now reached the state department and the department of homeland security after a new unusual request from the donald trump transition team has surfaced the incoming trump team is demanding a list of names for some reason u s president elect donald trump s transition team has asked two cabinet departments for the names of government officials working on programs to counter violent extremism according to a document seen by reuters and u s officials the requests to the state department and the department of homeland security involve a set of programs that seek to prevent violence by extremists of any stripe including recruitment by militant islamist groups within the united states and abroad reuters could not determine why the trump team asked for these names the trump team did not immediately respond to a request for comment trump has often attacked president obama and his team including former secretary of state hillary clinton for not being tougher on extremists often this critique has included the complaint that obama and his subordinates do not explicitly blame the islamic faith rather than point out how extremists deviate from mainstream islam it is certainly plausible that the trump team is considering some way in which to remove those who differ from their ideology from the permanent bureaucracy once they assume power such a purge of those seen to be disloyal would be in line with the authoritarian mindset that trump has so often embraced during the campaign trump has also issued a similar demand to the department of energy asking for the names of those who worked on the obama administration s climate change policy the department refused the request and the obama white house expressed concerns that the trump team was trying to target civil servants like scientists and lawyers eventually facing bad headlines the trump team disavowed the purge request featured image via flickrthese clowns have nothing on obama,fake
obama s minions in the democrat party never disappoint in their efforts to support this president on just about anything mikulski is retiring so what does she care sad day for america call her office office of senator barbara mikulski 503 hart senate office building washington dc 20510 202 228 1122sen barbara mikulski of maryland became the crucial 34th vote wednesday declaring the agreement was the best way to curb iran s nuclear ambitions in a statement mikulski said she had studied the deal carefully and had concluded it was the best way forward i ve considered the alternatives very closely but in the end they don t present a more viable option to this deal she wrote no deal is perfect especially one negotiated with the iranian regime i have concluded that this joint comprehensive plan of action is the best option available to block iran from having a nuclear bomb for these reasons i will vote in favor of this deal she also called on congress to affirm its commitment to the safety and security of israel mikulski 78 has been lauded by the jewish community as a staunch supporter of israel during her senate career the longest for a female in us history congress is to vote later this month on a resolution disapproving the deal which is unanimously opposed by republicans who call it a dangerous giveaway to iran the backing from mikulski who is retiring next year gives supporters the margin they need to uphold an obama veto of a congressional resolution of disapproval if republicans pass such a measure later this month and it spells failure for opponents of the international agreement who sought to foil it by turning congress against it leading that effort were israel and its allies in the us who failed to get traction after spending millions of dollars trying read more times of israel,fake
another positive step towards restoring our freedoms a federal court has decided that the national security agency s nsa bulk warrantless collection of millions of americans phone records is illegal the decision from the second circuit court of appeals on wednesday represents the second major court victory for opponents of the nsa after a lower court decision called the program nearly unconstitutional six months ago the phone records program exceeds the scope of what congress has authorized judge gerard lynch wrote on behalf of the three judge panel the court did not examine the constitutionality of the surveillance program via the hill,fake
