text,label
washington reuters former house speaker newt gingrich remembers the day 23 years ago when hillary clinton notebook in hand came to see him and other senior republicans to talk about hillarycare it was early 1993 clinton on behalf of her husband then president bill clinton was leading a healthcare reform drive that vaulted her onto the national stage hillarycare would famously collapse after a fierce debate in interviews with reuters some participants looked back on it as a crucible for the democratic presidential front runner that helped shape her approach to politics and governing the experience they said may have tempered her ambitions for the capacity of government and made her more of an incrementalist back then she seemed to have more of a taste for the big theory and the big plan said republican activist and editor bill kristol who wrote anti hillarycare strategy memos for republicans in the 1990s kristol said that since then clinton who is vying to face off against presumptive republican presidential nominee donald trump in the nov 8 u s election seems to have learned that the appearance of a massive government imposition on the citizenry doesn t go over well in america clinton walked into the 1993 meeting with gingrich and said she wanted to learn from him and other leaders who were already studying healthcare he was then the republican whip in the u s house of representatives she was the highly accomplished wife of the democratic party s new superstar and a yale educated lawyer gingrich s advice to her was simple do a series of small reforms year to year don t do a comprehensive plan you won t be able to pass it gingrich said he warned clinton in the meeting also attended by then house republican leader bob michel and then representative dennis hastert it will fall of its own weight she listened to us carefully and promptly went off and did whatever she wanted to recalled gingrich now a political commentator often mentioned as a potential vice presidential running mate to donald trump later that year the clinton white house delivered an ambitious and complex 1 342 page proposal for universal health insurance for all americans the first lady led the charge and testified in a series of lengthy congressional hearings she wowed lawmakers with her energy and intelligence but she could not convince enough of them to back the plan conservatives and healthcare industry interests attacked it one negative tv ad campaign paid for by health insurers memorably featured the fictional couple harry and louise in the end hillarycare failed and never even received a floor vote in the house or senate although both chambers had democratic majorities aided by the backlash that followed against big government democrats the republicans in 1994 won a majority in the house for the first time since the 1950s and gingrich became speaker in early 1995 even clinton supporters acknowledged that the size and scope of hillarycare unsettled some americans she has learned that excessive disruption in this country creates great angst and also division said chris jennings who was the first lady s congressional liaison during the 1993 94 battle and is now an informal adviser on healthcare to clinton s campaign reuters did not speak with clinton for this story but clinton wrote in her 2003 autobiography living history that our most critical mistake was trying to do too much too fast that said i still believe we were right to try clinton has also pointed out that while she was still first lady she rebounded from the hillarycare setback by urging democrats and republicans to pass a health insurance program for children in low income families clinton was elected in 2000 to the u s senate where she displayed bipartisanship and caution said jim manley who was a junior staffer for senator ted kennedy in 1993 94 and later the spokesman for senate democratic leader harry reid once she got to the senate she was determined to work with republicans manley said the senator i saw was someone who was very cautious she picked an issue and worked very hard to build consensus now having run unsuccessfully for president in 2008 and having served as secretary of state clinton is on course to take on trump a former reality television personality and luxury real estate developer on the campaign trail she talks about building on president barack obama s 2010 affordable care act which made health insurance more accessible to millions of americans she favors a public option or government run plan being added to the affordable care act she also has suggested allowing some working americans to buy into the medicare government health insurance system for the elderly what she clinton doesn t believe at this moment in time is that we can or should just start all over again on healthcare said jennings her former congressional liaison,real
dorking england reuters a man charged with trying to attack donald trump with a policeman s gun found it hard to cope with life but did not have political views and was never violent his father told british media on tuesday michael sandford was arrested after trying to grab a police officer s side arm at a trump rally in las vegas on saturday when asked why he told police to shoot and kill trump according to u s court papers he s never shown any violent tendencies before he s never been a bad person his father paul davey was quoted as saying by the mailonline website which put sandford s age as 20 u s prosecutors have said he is 19 he s a nice kid and literally wouldn t hurt a fly he used to tell us not to use fly spray because he didn t want any flies to die the mirror newspaper s website quoted davey as saying his son had asperger s syndrome and had left school at the age of 15 because he couldn t cope with it all he went to the united states 18 months ago after an american girl he had met returned home something that had made him quite down and depressed davey said he s been refusing to come back and we were worried about him we were in contact with the american embassy but the american authorities said he s over 18 we can t do anything davey said someone must have coerced or radicalised his son into attacking the presidential candidate he has never mentioned donald trump the reason it is such a shock is because he shows no interest in anything like that i doubt he would even know who the president of the united states is sandford lived on his own in dorking a commuter town near london in a flat in a large white house a local who knew sandford s mother who did not want to be named told reuters sandford had autism and obsessive compulsive disorder he was one of those guys who just stays in his room that s it wouldn t come out the man said the u s court documents said sandford had been planning to kill trump for about a year he had visited a gun range the day before the rally to fire a weapon for the first time last week a british member of parliament was shot and stabbed to death in the street an incident that has shocked a country that has strict gun controls and where attacks on public figures are rare media reported that sandford and his mother had taken part in a robot wars competition where contestants operate robots trying to destroy their opponents machine a web page for the fighting robots association listed michael and lynne sandford and paul davey as owners of a number of robots including machines named mr nasty x terminator and steel avenger he was quite active in the robot community for a while buying famous robots from the show i then got them working for him because he had absolutely no idea about robots john findlay director of the company behind robot wars told the mirror newspaper he was calm very quiet a little bit weird and reserved,real
reuters a former north carolina staffer is suing donald trump s presidential campaign saying a top employee in the state working on the republican s white house bid once pulled a gun on him and that after he reported it the campaign took no action vincent bordini who said he was hired in december 2015 as a software trainer said earl phillip then trump s north carolina state director pointed a pistol at his kneecap while the two were in a car together in february according to a lawsuit dated wednesday and filed in state court bordini said he reported the incident to several trump campaign officials including then campaign manager corey lewandowski with no result according to the lawsuit which was posted online by the new york daily news the lawsuit names phillip and the trump campaign as defendants vincent was a passionate donald j trump supporter the lawsuit said he had faith that the trump campaign would handle the situation internally but as time went on it became apparent that this not going to happen william harding a charlotte based lawyer for phillip called the allegations preposterous and said if bordini s claims were true there would have been criminal action if someone brandished a weapon on me or assaults me i m going to go to the appropriate law enforcement officer harding said phillip was replaced earlier this month as state director and moved to a diversity coalition for trump on thursday he resigned from the campaign harding said the trump campaign did not respond to a request for comment an attorney for bordini also did not immediately respond the lawsuit said the gun incident occurred during a trip to south carolina ahead of that state s primary bordini said four other people had similar interactions with phillip but the campaign did nothing in response the lawsuit said,real
berlin reuters german police presented on tuesday diaries pairs of glasses and other items belonging to late beatle john lennon that were stolen from his widow yoko ono in 2006 and eventually ended up in berlin police arrested a man in berlin on monday suspected of receiving the 86 stolen items which include lennon s last diary that ended on the day he was shot and killed in new york on dec 8 1980 this day contains the entry that on that morning john lennon and yoko ono had an appointment with annie leibovitz to take a photo which i think is world famous berlin prosecutor michael von hagen told a news conference the leibovitz portrait of a naked lennon curled up around ono on their bed ran on the january 1981 cover of rolling stone magazine hagen rejected suggestions that ono might have lent or given away the objects the diaries especially were also treated by yoko ono as something sacred and the idea that she would have given away three original diaries especially the one that ends on the very day lennon died can be completely ruled out carsten pfohl head of property crime for berlin police said investigators had found one of the pairs of glasses and a receipt in lennon s name hidden in the trunk of the car of the accused on monday police suspect that the items were stolen by ono s former driver and then taken to turkey and were only brought to berlin in 2013 or 2014 another suspect lives in turkey they said the berlin police was alerted after they were found by the administrator for a bankrupt auction house which had previously valued the objects at 3 1 million euros 3 64 million 1 0 8519 euros,real
washington reuters hillary clinton has one of the strongest resumes of anyone ever to run for u s president with stints as first lady senator and secretary of state but she is also a polarizing figure and a washington insider with decades of political baggage should democrat clinton 69 defeat republican donald trump 70 in tuesday s election she would become the first woman elected u s president having already been the only first lady to win elected office and the first woman nominated for president by a major u s party clinton fell short in her first presidential bid in 2008 losing her party s nomination to barack obama her time on the american political scene has come during an era of intense partisanship and gaping divisions in u s society americans hold dramatically differing views of clinton clinton s admirers consider her a tough capable and sometimes inspirational leader who has endured unrelenting efforts by political enemies to chop her down her detractors consider her an unscrupulous and power hungry opportunist clinton entered the 2016 race as her party s odds on favorite but was an establishment figure the ultimate insider with decades of political baggage at a time when voters seemed enamored with outsiders she staved off an unexpectedly stiff challenge from u s senator bernie sanders who describes himself as a democratic socialist to claim the democratic nomination in july for decades clinton has battled conservatives and republican adversaries and weathered controversies including her husband bill clinton s infidelity a failed republican effort to remove him from office investigations into past business dealings and her use of a private email server as secretary of state she famously complained in 1998 during her husband s presidency about a vast right wing conspiracy many democrats back her for championing women s rights at home and abroad social justice and access to healthcare but opinion polls show a majority of u s voters do not trust her polling reuters com poll tm752y15_2 against trump she portrayed her candidacy as a bulwark against a unique threat that she said the real estate developer posed to american democracy as president obama s secretary of state from 2009 to 2013 she grappled with civil wars in syria and libya iran s nuclear program china s growing clout russian assertiveness ending the iraq war winding down the afghanistan war and an unsuccessful bid to settle the israeli palestinian conflict clinton was already running for president when during a testy 11 hour congressional hearing in october 2015 she deflected republican criticism of her handling of a 2012 attack by militants in benghazi libya in which the u s ambassador died that hearing and another in january 2013 while she was still secretary of state focused on allegations of state department security lapses related to the attack a mistrust of rivals and the media has long prompted clinton to keep her guard up the truth is through all these years of public service the service part has always come easier to me than the public part clinton said in accepting the 2016 democratic nomination i get it that some people just don t know what to make of me at the same convention obama cited her years of experience and said there has never been a man or woman not me not bill nobody more qualified than hillary clinton to serve as president of the united states republicans have accused clinton of breaking the law while corresponding through a private email server as secretary of state in july fbi director james comey called clinton extremely careless in her handling of classified information by email but obama s justice department accepted his recommendation not to bring criminal charges if i had to do it over again i would obviously do it differently clinton said during a sept 26 debate with trump referring to her use of the private server as a mistake for which she took responsibility the controversy flared again on oct 28 when comey told u s lawmakers the fbi was investigating a new trove of emails as part of its probe but said their significance was unclear trump seized on the probe into clinton s email deriding her as crooked hillary saying he would seek to put her behind bars if elected and encouraging his supporters to chant lock her up clinton portrayed trump as a racist hate monger a sexist and a tax dodger enamored with russian president vladimir putin and unfit to serve as president and commander in chief such a nasty woman trump retorted during their oct 19 debate when she suggested he would try to get out of paying the higher taxes she advocates for the wealthy born in chicago on oct 26 1947 hillary rodham clinton was the eldest of three children of a small business owner father she called a rock ribbed up by your bootstraps conservative republican and a mother who was a closet democrat she said she inherited her father s distinctive laugh she called it a big rolling guffaw and americans have heard it frequently she attended public schools then enrolled in 1965 at all female wellesley college in massachusetts where she headed the young republicans club in a wellesley commencement address she seized the spotlight by starting her speech with extemporaneous remarks challenging comments made by the preceding speaker a u s senator her political views changed during the 1960s civil rights struggles and vietnam war escalation she attended the 1968 republican convention that nominated richard nixon but soon became a democrat at yale law school she met a similarly ambitious fellow student from arkansas bill clinton and they became a couple she moved to washington to work for a congressional panel in the impeachment drive against nixon who resigned as president in 1974 during the watergate scandal she moved to arkansas to be with bill married him in 1975 and was hired by a top law firm he jumped into politics eventually being elected governor at age 32 in 1978 she gave birth to the couple s only child daughter chelsea in 1980 as arkansas first lady she was a high powered lawyer in the capital little rock and a wal mart corporate board member most americans were introduced to her during her husband s bid for the 1992 democratic presidential nomination bill clinton said voters would get two for the price of one if they elected him she unapologetically said she was not a woman who stayed home and baked cookies after a woman named gennifer flowers accused bill clinton during the campaign of a sexual affair hillary clinton appeared on tv with her husband and referred to singer tammy wynette s song stand by your man you know i m not sitting here some little woman standing by my man like tammy wynette she said adding that she loved and respected her husband and you know if that s not enough for people then heck don t vote for him she added conservative critics painted her as a radical feminist and a threat to traditional family values bill clinton defeated incumbent republican president george h w bush in november 1992 as first lady from 1993 to 2001 she was unusually exertive diving into policy matters unlike many of her predecessors critics assailed her failed effort to win congressional passage of healthcare reform deriding it as hillarycare at a 1995 u n conference in china on women she declared that human rights are women s rights and women s rights are human rights she and her husband faced a long investigation into past business dealings but ultimately no criminal charges were brought a real estate venture known as whitewater faced scrutiny spawning an independent counsel investigation that later encompassed bill clinton s sexual relationship with a white house intern named monica lewinsky deputy white house counsel vince foster a figure in the whitewater controversy and a close friend of the clintons from arkansas was found dead of a gunshot in 1993 his death was ruled a suicide in a 2003 memoir hillary clinton blasted conspiracy theorists and investigators trying to prove that vince was murdered to cover up what he knew about whitewater in 2000 the independent counsel investigation concluded there was insufficient evidence to show the clintons had been involved in any criminal behavior related to whitewater in december 1998 the republican led house of representatives voted to impeach a president for only the second time in u s history charging bill clinton with high crimes and misdemeanors for allegedly lying under oath and obstructing justice to cover up his relationship with lewinsky the republican led senate acquitted clinton in february 1999 hillary clinton called the impeachment an abuse of power by republicans with a soviet style show trial and condemned what she called an attempted congressional coup d etat she also said she wanted to wring bill s neck for the affair and upbraided him privately ultimately she said she decided she still loved him and remained after they went through counseling all i know is that no one understands me better and no one can make me laugh the way bill does she wrote in her 2003 book living history hillary clinton soon launched her own bid for elected office she bought a house in the town of chappaqua to officially become a new york resident she won election as a u s senator the same month her husband left office in january 2001 she served until 2009 she entered the race for the 2008 democratic presidential nomination as the front runner but then senator obama won the party s nomination and beat republican john mccain to become the first black president in 2016 obama campaigned vigorously for her against trump what sets hillary apart is that through it all she just keeps on going and she doesn t stop caring and she doesn t stop trying and she never stops fighting for us even if we haven t always appreciated it obama told a september rally,real
reuters protesters for and against trump faced off in a plaza a few blocks from the site of the republican national convention in downtown cleveland on monday shouting slogans at each other but avoiding physical confrontation dozens of protesters were separated by a wall of police that looked equal in number to one side of the police line at the foot of the key tower cleveland s tallest building demonstrators shouted black lives matter from the other side came you re a bunch of anarchists the exchanges marked the first emotionally charged demonstration at the 2016 republican national convention where security forces are on alert for potentially disruptive conflicts a combination of intense rhetoric by presumptive republican candidate donald j trump recent police shootings of african americans in baton rouge and the minneapolis area and the killings of police in dallas and baton rouge has raised tensions in the run up to the convention alicia street 31 a black lives matter activist from ferguson missouri told reuters that police appeared to outnumber the protesters we don t need all these police this is just free speech street said shortly after a group of pro trump protesters left the area they are going to make people afraid smaller demonstrations were held elsewhere in the downtown area at least two protesters were seen carrying firearms a group of people identifying themselves as anti gay christians shouted at a rival group one person carried a sign that read stop being a sinner and obey jesus a speaker at an anti trump rally was arrested but police said it was unrelated to the campaign one protest leader kait mcintyre 27 said organizers from her group had sought permission for weeks to march outside the protest zone and only recently received it from the city we wanted to get within sight and sound of the actual convention we wanted our voices heard she said,real
elkhart ind reuters president barack obama said on wednesday the decision to direct public schools to allow transgender students to use the bathrooms of their choice was based on the law and the best interests of the children speaking at a town hall event broadcast by the pbs television network obama a democrat said the federal government waded into the controversial issue after school districts asked the education department for guidance republicans have blasted the directive as executive branch overreach and more than a dozen states have sued the obama administration to block it what happened and what continues to happen is you have transgender kids in schools and they get bullied and they get ostracized and it s tough for them obama said my best interpretation of what our laws and our obligations are is that we should try to accommodate these kids so that they are not in a vulnerable situation he said on may 13 the federal government told public schools they must allow transgender students to use bathrooms that correspond with their gender identity the non binding guidance contained the implicit threat of cuts in federal funding if it was not followed it relied on an interpretation of title ix which protects people from discrimination based on sex in education initiatives that receive federal financial assistance the directive came as the justice department and north carolina battled in federal court over a north carolina state law approved in march that prohibits people from using public restrooms not corresponding to the sex on their birth certificates other states are weighing similar measures we should deal with this issue the same way we would want it dealt with if it was our child and that is to try to create an environment of some dignity and kindness for these kids obama said obama said there are a lot of things more pressing than the transgender bathroom controversy including islamic state the economy and jobs somehow people think i made it an issue i didn t make it an issue he said,real
havana reuters u s president barack obama tried out his comedic chops with some spanish in a video he made with cuban humorist pánfilo ahead of a historic visit to havana obama who has won praise from professional comedians for his comic timing is due to arrive in cuba on sunday he shot a segment from the oval office in which he pretends to have a conversation with pánfilo in cuba the two sides of the call were edited together in a video playing on the havana u s embassy s social media feeds and the youtube channel of an official cuban media outlet on saturday bit ly 1wyrvhz pánfilo calls washington looking for a weather forecast for tuesday s exhibition game between cuba s national baseball team and the tampa bay rays a game obama will intend instead of getting the weather service he ends up on the phone with obama asking if he is really speaking with the president yes the real obama who s this the president says i m pánfilo from cuba the real pánfilo from the tv show obama asks pánfilo is shocked the president knows him and obama pretends to be equally star struck no me digas qué bolá obama says in cuban slang you don t say what s up pánfilo then engages the u s president in his trademark gentle social satire of cuban life joking about old cars and cramped living quarters,real
toronto reuters canadian designer line the label shot to prominence on monday after u s actress meghan markle wore a coat from the brand in her first public appearance after her engagement to britain s prince harry markle appeared in the sunken garden at kensington palace on monday in the late november chill donning the c 799 627 11 white wrap coat with oversized collars and cinched at the waist with a knotted belt the surge in interest in the coat caused the style to quickly sell out and crashed the toronto based knitwear label s website in some parts of the world including in london the company is taking reorders on the coat an external spokeswoman said by email line has since named the coat meghan company president and co founder john muscat said in a statement adding it was one of her favorite pieces from the fashion label we are incredibly honored that meghan chose to wear a line coat to mark this very special occasion muscat said we are elated for meghan and wish her a lifetime of happiness with prince harry markle who has a starring role in the toronto filmed u s tv show suits has lived in the canadian city for several years markle also wore a line coat to the closing ceremony of the invictus games in toronto in september days after the pair made their first public appearance together celebrities including sandra bullock jennifer garner and kate hudson have also been photographed wearing the brand line was founded in 2000 by muscat and designer jennifer wells it was acquired a few years later by canadian fashion house and importer pya which is based in a north toronto suburb,real
paris reuters the harvey weinstein scandal is forcing a rethink of attitudes toward sexual harassment in france a country that cherishes its self image as the land of seduction and romance said the minister tasked with cracking down on violence against women movie producer weinstein has been accused by numerous women of having sexually harassed or assaulted them in incidents dating back to the 1980s including three who said they were raped weinstein denies having non consensual sex with anyone more than 300 000 accounts of sexual harassment or abuse have been published under the french balancetonporc or squealonyourpig hashtag on twitter in the past week though some conservatives say the new trend amounts to an attack on the french way of life in the name of u s style puritanism we are really at a turning point with the weinstein affair as a trigger gender equality minister marlene schiappa told reuters on friday in an interview france has often debated sexual harassment over the past decade following scandals involving french politicians six years ago a sex scandal forced former french finance minister dominique strauss kahn to resign as head of the international monetary fund provoking a round of soul searching in france about sexual abuse that goes undeclared or undetected in the upper echelons of power a deputy of macron s year old republic on the move party lrem christophe arend was accused by his ex assistant and campaign manager of sexual harassment the franceinfo media outlet reported on friday the party said in a statement that arend benefitted from a presumption of innocence until proven otherwise and that he had filed a complaint of slanderous denunciation against his accuser any form of violence and harassment is intolerable it is up to the justice process and it alone to shed light lrem said gender equality minister schiappa said the weinstein scandal could have a more durable impact in france because it had prompted women from all walks of life to denounce harassment and assault at work and in public places not only in the corridors of power when it s about politicians most people just slam politicians rather than seeing it as a wider issue said schiappa a 34 year old blogger turned minister in president emmanuel macron s new government but when it s to do with cinema it has a wider impact because people identify with actors and actresses she added describing the wave of testimonies on social media as a liberation this week schiappa kicked off nationwide consultations over a law due to be completed early next year that will include steps to fight sexual harassment on the streets as well as extend the statute of limitation for rape of minors not all french people approve of her plans or of the squealonyourpig trend on twitter france is a country of men who love women wrote pundits berenice levet and guillaume bigot in le figaro daily on thursday it is not a country of platonic love they said warning against the import of what french conservatives have long denigrated as a killjoy anglo saxon view of relationships between men and women responding to such criticism schioppa said there is some reluctance some say we will kill the culture of the french lover if we punish street harassment but it s the opposite we want to preserve seduction chivalry and l amour la francaise by saying what is key is consent between consenting adults everything is allowed we can seduce talk but if someone says no it s no and it s final she said much of the french debate focuses on plans to slap fines on harassment in the street and whether that is really feasible schiappa acknowledged it was hard to define adding details would be decided through wide consultations in coming months for instance it s following a woman through several blocks or asking for her phone number 15 straight times said schiappa adding that she personally did not believe wolf whistles should be characterized as sexual harassment,real
